Naam,Alternatieve namen,Plaats,Beginjaar,Eindjaar,Einddatum,Levensbeschouwing
A.C.V.V.,,Appingedam,Voetbal,1940,1941,Neutraal
A.D.C.,D.A.C.,Appingedam,Voetbal,1932,1936,Neutraal
A.D.E. (Alles Door Eendracht),A.D.O.,Weesp,Voetbal,1933,2003,Neutraal
Adelaars,Deventer,Deventer,Voetbal,1930,,Socialistisch
Adelaars,S.V.S. (Sportvereeniging Van Santen),Den Haag,Voetbal,1931,1943,Neutraal
A.D.N.O.,N.O.A.D.,Den Haag,Voetbal,1933,1941,Neutraal
A.D.O.,,Amsterdam ?,Voetbal,1905,1905,Neutraal
A.D.O.,,Weesp,Voetbal,1933,,Protestants-christelijk
A.D.O.,,Breezand,Voetbal,1932,1936,Protestants-christelijk
A.D.O.,,Haren bij Megen,Voetbal,1933,1936,Rooms-katholiek
A.D.O.,,Schaijk,Voetbal,1933,,Rooms-katholiek
A.D.O.,,Rotterdam,Voetbal,1926,,Protestants-christelijk
A.D.O. (Aanhouden Doet Overwinnen),,Heemskerk,Voetbal,1920,,Rooms-katholiek
A.D.O. (Alles Door Oefening),,Den Haag,Voetbal,1905,,Neutraal
A.D.O. (zaterdag),,Rotterdam,Voetbal,1924,,Neutraal
Adolf Kolping,,Langeraar,Voetbal,1932,1939,Rooms-katholiek
Adolph,,Amsterdam,Voetbal,1920,1933,Neutraal
Adorp,,Adorp,Voetbal,1932,1941,Neutraal
A.D.S. (Alles Door Samenspel),,Loosduinen (Den Haag),Voetbal,1931,,Neutraal
A.D.S.V.,,Amsterdam,Voetbal,1932,1936,Neutraal
A.D.S.V.,,Amsterdam,Voetbal,1938,,Neutraal
A.D.S.V.,,Amsterdam,Voetbal,1926,1931,Neutraal
A.D.T.,Vae Victis,Den Haag,Voetbal,1936,1941,Neutraal
Aduard,A.V.C.,Aduard,Voetbal,1924,,Neutraal
Advendo,,Amsterdam,Voetbal,1904,1904,Neutraal
A.D.V.E.N.D.O.,,Princenhage,Voetbal,1906,1908,Neutraal
Advendo,,Hengelo Gl,Voetbal,1921,,Rooms-katholiek
A.D.V.E.N.D.O.,,Tilburg,Voetbal,1922,1929,Rooms-katholiek
Advendo,,Rotterdam,Voetbal,1901,1914,Neutraal
A.D.V.E.N.D.O. (Aangenaam Door Vermaak En Nuttig Door Ontspanning),Breda,Princenhage,Voetbal,1904,1912,Neutraal
A.D.V.E.N.D.O. (Aangenaam Door Vermaak En Nuttig Door Ontspanning),,Breda,Voetbal,1932,,Rooms-katholiek
A.D.V.E.O. (Aangenaam Door Vriendschap En Oefening),,Oirsbeek,Voetbal,1925,,Rooms-katholiek
A.D.W. (Aanhouden Doet Winnen),,Amsterdam,Voetbal,1914,1985,Neutraal
A.D.W.V.,D.W.V.,Amsterdam,Voetbal,1919,1923,Neutraal
A.E.C.,,Den Haag,Voetbal,1938,1942,Neutraal
A.E.C.,A.V.C.,Almen,Voetbal,1922,1923,Neutraal
A.E.D. (Allen E&#233;n Doel),,Amsterdam,Voetbal,1920,,Neutraal
A.E.E.,T.O.G.,Amsterdam,Voetbal,1917,1919,Neutraal
A.E.E.,,Amsterdam,Voetbal,1920,1921,Neutraal
A.E.E.,Archipel,Amsterdam,Voetbal,1935,1938,Neutraal
A.E.G. (Altijd E&#233;n Goal),,Amsterdam,Voetbal,1939,1940,Neutraal
Aeolus,,Rotterdam,Voetbal,1927,,Rooms-katholiek
Aerdt,,Herwen en Aerdt,Voetbal,1932,,Rooms-katholiek
Aeterna,,Nijmegen?,Voetbal,1931,1931,Rooms-katholiek
A.F. en H.C. (Adelborsten Football en Hockey Club),,Willemsoord,Voetbal,1905,1913,Neutraal
A.F.C.,R.K.A.F.C.,Alkmaar,Voetbal,1934,,Rooms-katholiek
A.F.C. (Amsterdamsche Football Club),A.V.C. (Amsterdamsche Voetbal Club),Amsterdam,Voetbal,1895,,Neutraal
Africana,,Amsterdam,Voetbal,1930,1938,Neutraal
Agatinos,,Oudenbosch,Voetbal,1915,1916,Rooms-katholiek
Agiel,,Vlissingen,Voetbal,1923,,Neutraal
Agneta,,Delft,Voetbal,1936,1941,Neutraal
A.G.O.S.V.,,Apeldoorn,Voetbal,1919,1922,Neutraal
A.G.O.V.V.,,Arnhem,Voetbal,1934,1935,Rooms-katholiek
A.G.O.V.V. (Alleen Gezamenlijk Oefenen Voert Verder),G.O.V.V.S.V.,Apeldoorn,Voetbal,1913,,Neutraal
A.G.S. (Amsterdamsche Grafische Sportvereeniging),,Amsterdam,Voetbal,1926,,Neutraal
A.G.T. (Amsterdamsche Gemeente Tram),,Amsterdam,Voetbal,1919,,Neutraal
A.G.V.V.,,Amsterdam,Voetbal,1901,1903,Neutraal
A.G.W.,,Wildervank,Voetbal,1914,1914,Neutraal
A.H.C. (Aerdt Herwen Combinatie),,Herwen en Aerdt,Voetbal,1938,,Rooms-katholiek
A.H.C. (Alkmaar Holland Combinatie),Alkmaar,Alkmaar,Voetbal,1918,1919,Neutraal
A.H.C. (zaterdag),,Utrecht,Voetbal,1923,1924,Neutraal
Ahrend's,A.V.V. Ahrend's Voetbal Club (A.V.C.)//Ahrend,Amsterdam,Voetbal,1915,,Neutraal
A.H.V.V. (Amsterdamsche Handelsreizigers Voetbal Vereeniging),Handelsreizigers Voetbalvereeniging 1920//Amsterdamsche Handelsreizigers,Amsterdam,Voetbal,1920,1932,Neutraal
A.I.A.,,Amsterdam,Voetbal,1930,1937,Neutraal
Ajax,,Breedenbroek,Voetbal,1934,,Rooms-katholiek
Ajax,,Oerle,Voetbal,1931,1931,Rooms-katholiek
Ajax,,Wageningen,Voetbal,1920,1920,Neutraal
Ajax,,Den Bosch,Voetbal,1915,,Rooms-katholiek
Ajax,,Ermelo,Voetbal,1933,1933,Protestants-christelijk
Ajax,,Chevremont,Voetbal,1928,1930,Rooms-katholiek
Ajax,,Ommen,Voetbal,1932,1935,Protestants-christelijk
Ajax,,Steenbergen,Voetbal,1915,1915,Rooms-katholiek
Ajax,,Veenendaal,Voetbal,1933,1936,Protestants-christelijk
Ajax,,Vlaardingen,Voetbal,1900,1904,Neutraal
Ajax,,Heel,Voetbal,1920,1920,Rooms-katholiek
Ajax,,Den Haag,Voetbal,1906,1908,Neutraal
Ajax,,Maastricht,Voetbal,1918,,Rooms-katholiek
Ajax,,Leiden,Voetbal,1892,1918,Neutraal
Ajax,,Arnhem,Voetbal,1909,1910,Rooms-katholiek
Ajax,,Oudenbosch,Voetbal,1918,,Rooms-katholiek
Ajax (ook zaterdag),,Amsterdam,Voetbal,1900,,Neutraal
Ajax (zaterdag),,Veenendaal,Voetbal,1934,1935,Neutraal
A.J.C.,A.R.C.,Haarlem,Voetbal,1920,1926,Neutraal
A.J.C.,,Amersfoort?,Voetbal,1920,,Neutraal
Akersloot,,Akersloot,Voetbal,1932,1941,Neutraal
Akkrum,,Akkrum,Voetbal,1926,,Neutraal
Albatam,,Den Haag?,Voetbal,1928,1929,Neutraal
Albatros,H.O.V.//Ugchelen,Ugchelen (Apeldoorn),Voetbal,1918,,Neutraal
Albatros,,Stevensbeek,Voetbal,1937,,Rooms-katholiek
Albatros,,Venray,Voetbal,1928,,Rooms-katholiek
Albatross,,Apeldoorn (Ughelen),Voetbal,1919,,Neutraal
Albion,,Amsterdam,Voetbal,1914,1916,Neutraal
Alblasserdam,A.F.C.,Alblasserdam,Voetbal,1923,1928,Neutraal
Alblasserdam,Ajax,Alblasserdam,Voetbal,1928,,Neutraal
Alceyon (zaterdag),A.H.C.,Utrecht,Voetbal,1924,1933,Neutraal
Alceyon (zaterdag),Heracles,Utrecht,Voetbal,1922,1923,Neutraal
Alcides,,Kaalheide,Voetbal,1919,1920,Rooms-katholiek
Alcides,Hercules,Meppel,Voetbal,1907,,Neutraal
Alcmaria Victrix,,Alkmaar,Voetbal,1898,,Neutraal
Alem,,Alem,Voetbal,1934,1939,Rooms-katholiek
Alerte,A.F.C.,Assen,Voetbal,1916,1922,Neutraal
A.L.E.T.,,Groningen,Voetbal,1933,,Neutraal
Alexander,Prins Hendrik,Tilburg,Voetbal,1912,1915,Neutraal
Alexander,Juliana//Mars,Tilburg,Voetbal,1920,1933,Neutraal
Alexandria,A.S.C.,Apeldoorn,Voetbal,1920,1923,Neutraal
Alexandria,A.S.C.,Apeldoorn,Voetbal,1920,,Neutraal
Algemene,,Rotterdam,Voetbal,1928,1936,Socialistisch
Alika (zaterdag),,Rotterdam,Voetbal,1928,,Neutraal
Alkmaar,A.F.C.,Alkmaar,Voetbal,1920,1922,Neutraal
Alkmaar,Go Ahead,Alkmaar,Voetbal,1930,1938,Neutraal
Alkmaar,S.D.O.,Alkmaar,Voetbal,1913,1918,Neutraal
Alkmaar,Go Ahead,Alkmaar,Voetbal,1918,1927,Neutraal
Alkmaar (voetbalgroep),,Alkmaar,Voetbal,1930,1934,Socialistisch
Alkmaarsche Boys,,Alkmaar,Voetbal,1931,,Neutraal
All Quick,Quick,Rotterdam,Voetbal,1921,1923,Neutraal
All Ready,Woudvogels//S.O.S.,Amsterdam,Voetbal,1931,,Neutraal
All Ready,,Utrecht,Voetbal,1918,1929,Neutraal
All Risks,,Amsterdam,Voetbal,1921,1933,Neutraal
All Round,,Utrecht,Voetbal,1934,1938,Neutraal
All Round,,Utrecht,Voetbal,1921,1925,Neutraal
Allen Weerbaar,,Arnhem,Voetbal,1913,1915,Neutraal
Allen Weerbaar (A.W.),,Bussum,Voetbal,1903,,Neutraal
Alliance,,Roosendaal,Voetbal,1918,,Neutraal
Alliance,,Haarlem (Overveen),Voetbal,1922,,Rooms-katholiek
Almania,Blauw Wit,Broeksittard,Voetbal,1919,,Rooms-katholiek
Almelo,De Boys,Almelo,Voetbal,1914,,Neutraal
Almelo (voetbalgroep),,Almelo,Voetbal,1930,,Socialistisch
Almelonia,Zwaluwen,Almelo,Voetbal,1922,1929,Rooms-katholiek
Almelosche Boys,Volharding,Almelo,Voetbal,1919,1933,Neutraal
Almelosche Christelijke Voetbalvereeninging Hercules,,Almelo,Voetbal,1925,,Protestants-christelijk
Almen,,Almen,Voetbal,1937,,Neutraal
Almen,,Almen,Voetbal,1926,1933,Neutraal
Almkerk,,Almkerk,Voetbal,1930,,
A.L.O. (Algemeene Lichaams-Ontwikkeling),De Duiven,Rotterdam,Voetbal,1920,1936,Rooms-katholiek
Alphen,V.I.O.S. (Vooruitgang Is Ons Streven),Alphen aan de Maas (Wamel),Voetbal,1933,,Rooms-katholiek
Alphen,D.V.S.,Alphen aan den Rijn,Voetbal,1909,,Neutraal
Alphen's Wilskracht (A.W.),,Alphen aan den Rijn,Voetbal,1921,1923,Rooms-katholiek
Alphensche Boys,,Alphen aan den Rijn,Voetbal,1930,,Rooms-katholiek
Alphia (ook zaterdag),D.I.O.S.,Alphen aan den Rijn,Voetbal,1919,,Neutraal
Alteveer,,Alteveer,Voetbal,1932,1935,Neutraal
Alteveersche Boys,De Zwaluwen,Alteveer,Voetbal,1935,1940,Neutraal
Alteveersche Boys,A.V.V.,Alteveer,Voetbal,1933,1933,Neutraal
Altijd Weerbaar,,Gouda,Voetbal,1918,1918,Neutraal
Altior,V.D.O.,Deventer,Voetbal,1917,1940,Rooms-katholiek
Altior,,Deventer,Voetbal,1927,1931,Neutraal
Altior,V.D.O.O.,Deventer,Voetbal,1918,,Rooms-katholiek
Altius,,Hilversum,Voetbal,1931,,Neutraal
A.L.T.O.,N.A.S.,Gouda,Voetbal,1921,1924,Neutraal
Alverna,,Alverna (Wijchen),Voetbal,1936,1945,Rooms-katholiek
Alvernia,H.S.V. (Hoogbroekse Sportvereniging),Alverna (Wijchen),Voetbal,1934,1936,Neutraal
Always Forward,Forward,Hoorn,Voetbal,1920,,Rooms-katholiek
Always Forward,,Alphen aan den Rijn,Voetbal,1923,1939,Rooms-katholiek
Always Forward,V.I.O.S.,Rotterdam,Voetbal,1939,1941,Neutraal
Always Ready,,Nieuwe Pekela,Voetbal,1934,1937,Neutraal
Always Ready,,Amsterdam,Voetbal,1919,1921,Neutraal
Always Ready,Ready,Amsterdam,Voetbal,1921,1922,Neutraal
Always Ready,,Amsterdam,Voetbal,1922,1923,Neutraal
Amateure,Deutsche Sportverein,Amsterdam,Voetbal,1922,1929,Neutraal
Ambadenha,,Den Haag?,Voetbal,1926,1938,Neutraal
Ambanoord,,Groningen,Voetbal,1933,,Neutraal
Ambaro,,Rotterdam,Voetbal,1917,1943,Neutraal
Amby,Juliana,Amby (Maastricht),Voetbal,1924,1941,Rooms-katholiek
Amby,,Amby (Maastricht),Voetbal,1920,1923,Neutraal
Ameide,R.O.H.D.A.,Ameide,Voetbal,1927,1939,Neutraal
America,,America,Voetbal,1927,,Rooms-katholiek
America,Juliana,America,Voetbal,1921,1939,Rooms-katholiek
America,,America,Voetbal,1940,,Neutraal
American Hotel,,Amsterdam,Voetbal,1941,,Neutraal
Amerongen,,Amerongen,Voetbal,1922,1941,Neutraal
Amersfoort,Vitesse,Amersfoort,Voetbal,1910,1923,Neutraal
Amersfoort,,Amersfoort,Voetbal,1932,1936,Socialistisch
Amersfoort,,Amersfoort,Voetbal,1933,1936,Rooms-katholiek
Amersfoort Vooruit (ook zaterdag),V.E.N.S.A.,Amersfoort,Voetbal,1931,1938,Neutraal
Amersfoortsche Boys,Vitesse,Amersfoort,Voetbal,1916,1997,Neutraal
Amersfoortsche F.C.,,Amersfoort,Voetbal,1890,1895,Neutraal
Amersfoortsche Onderofficiers Voetbalvereeniging Wilhelmina,,Amersfoort,Voetbal,1898,1901,Neutraal
A.M.H.,A.R.C.,Amsterdam,Voetbal,1925,1926,Neutraal
Amical,Voorwaarts,Tiel,Voetbal,1918,1920,Neutraal
Amical,,Tiel,Voetbal,1921,1924,Neutraal
Amicitia,,Leijenbroek,Voetbal,1920,1922,Rooms-katholiek
Amicitia,,Workum,Voetbal,1914,1916,Neutraal
Amicitia,,Beek Lb,Voetbal,1910,1911,Neutraal
Amicitia,,Maassluis (Vlaardingen),Voetbal,1894,,Neutraal
Amicitia,,Rotterdam,Voetbal,1933,,Socialistisch
Amicitia,,Bedum,Voetbal,1937,1937,Neutraal
Amicitia,,Leijenbroek,Voetbal,1923,1924,Neutraal
Amicitia,,Groningen,Voetbal,1929,1952,Neutraal
Amicitia,R.K.L.V.C.,Leijenbroek,Voetbal,1933,1935,Rooms-katholiek
Amicitia,,Bloemendaal,Voetbal,1921,,Rooms-katholiek
Ammelie,,Maastricht,Voetbal,1937,,Neutraal
Ammelie,,Maastricht,Voetbal,1922,1926,Neutraal
Ammerstol,,Ammerstol,Voetbal,1935,,Neutraal
Ammerstolsche Sportvereeniging (A.S.V.),,Ammerstol,Voetbal,1932,,Neutraal
A.M.O.,,Nederweert,Voetbal,1930,1930,Rooms-katholiek
A.M.R. (zaterdag),,Rotterdam,Voetbal,1931,1936,Neutraal
Amstel,,Amsterdam,Voetbal,1905,,Neutraal
Amstelboys,,Amsterdam,Voetbal,1934,1938,Neutraal
Amstelbrouwerij,,Amsterdam,Voetbal,1928,1938,Neutraal
Amstelkring,,Amsterdam,Voetbal,1929,1931,Neutraal
Amstelkring,,Amsterdam,Voetbal,1922,1923,Neutraal
Amstels F.C.,,Amsterdam,Voetbal,1890,1891,Neutraal
Amstelsteijn,E.D.O.,Amsterdam,Voetbal,1923,1927,Neutraal
Amstelsteijn,,Amsterdam,Voetbal,1918,1921,Neutraal
Amstelsteyn,Zwaluwen,Amsterdam,Voetbal,1917,1918,Neutraal
Amstenrade,D.O.S.,Amstenrade (Schinnen),Voetbal,1927,1940,Rooms-katholiek
Amsterda,,Amsterdam,Voetbal,1930,,Neutraal
Amsterdamsche Bank,,Amsterdam,Voetbal,1911,,Neutraal
Amsterdamsche Boys,S.E.V.,Amsterdam,Voetbal,1921,,Neutraal
Amsterdamsche Cricket en F.C. U.N.I.,,Amsterdam,Voetbal,1891,1898,Neutraal
Amsterdamsche cricket en footbalclub Achilles,,Amsterdam,Voetbal,1889,,Neutraal
Amsterdamsche Cricket- en Footballclub Hercules,,Amsterdam,Voetbal,1890,,Neutraal
Amsterdamsche Cricket- en Footballclub Sport,,Amsterdam,Voetbal,1886,,Neutraal
Amsterdamsche cricket- en voetbalclub Excelsior,,Amsterdam,Voetbal,1890,1890,Neutraal
Amsterdamsche F.C. Herakles,,Amsterdam,Voetbal,1895,,Neutraal
Amsterdamsche F.C. Mercurius,,Amsterdam,Voetbal,1888,1891,Neutraal
Amsterdamsche football- en cricketclub E.D.O. (Eendracht Doet Overwinnen),,Amsterdam,Voetbal,1892,1906,Neutraal
Amsterdamsche footballclub Quick,,Amsterdam,Voetbal,1889,1911,Neutraal
Amsterdamsche Sportclub,,Amsterdam,Voetbal,1889,1891,Neutraal
Amsterdamsche Sportclub Fenris,Hercules,Amsterdam,Voetbal,1918,1925,Neutraal
Amsterdamsche voetbalvereeniging Eendracht,,Amsterdam,Voetbal,1893,1902,Neutraal
Amsterdamsche voetbalvereeniging Steeds Voorwaarts,,Amsterdam,Voetbal,1895,1925,Neutraal
Amsterdamsche V.V. Olympia,,Amsterdam,Voetbal,1894,1895,Neutraal
Amstleven,,Amsterdam,Voetbal,1938,,Neutraal
Amstubed,,Amsterdam,Voetbal,1938,1939,Neutraal
Amsvorde,D.E.S.,Amersfoort,Voetbal,1925,,Neutraal
A.M.T. (Artillerie Munitie Trein),,Delft,Voetbal,1917,1918,Neutraal
A.M.V.,,Amsterdam,Voetbal,1923,1923,Neutraal
A.M.V.C.,V.E.L.,Arnhem,Voetbal,1921,1923,Neutraal
A.M.V.J.,E.S.W.,Amsterdam,Voetbal,1932,,Protestants-christelijk
A.M.V.J. (Algemeene Maatschappij Voor Jongeren),Concordia,Amsterdam,Voetbal,1922,1940,Neutraal
A.N.C.,,Groningen,Voetbal,1934,,Neutraal
Andel,Sparta,Andel,Voetbal,1930,1940,Neutraal
Andijk,A.V.V. Hercules,Andijk,Voetbal,1928,,Neutraal
Andijker Boys,A.V.V.O.,Andijk,Voetbal,1934,1939,Neutraal
Angeren,,Angeren,Voetbal,1929,1930,Neutraal
Angrina,,Angeren,Voetbal,1921,,Rooms-katholiek
Animo,,Den Haag,Voetbal,1922,1923,Rooms-katholiek
Animo,Onze Zwaluwen,Amsterdam,Voetbal,1920,,Neutraal
Ankeveensche Boys,,Ankeveen,Voetbal,1935,1937,Rooms-katholiek
Ankum,,Ankum,Voetbal,1930,1939,Neutraal
Anna Paulowna,Hollandia,Anna Paulowna,Voetbal,1914,1916,Neutraal
Anna Paulowna,,Anna Paulowna,Voetbal,1933,,Socialistisch
Anna Paulowna,Concordia,Anna Paulowna,Voetbal,1923,1930,Neutraal
Annen,,Annen,Voetbal,1932,1940,Neutraal
Annerveen,,Annerveen,Voetbal,1933,1934,Neutraal
Anthonie,,Oss,Voetbal,1915,1917,Neutraal
Anthony,,Oss,Voetbal,1911,1912,Neutraal
A.O.C. (Appelscha Oostwolde Combinatie),,Oosterwolde,Voetbal,1922,1926,Neutraal
A.O.O. (zaterdag?),,Nijmegen,Voetbal,1928,1933,Neutraal
A.O.V.,S.N.A.,Gorinchem,Voetbal,1920,1926,Neutraal
A.O.V. (Arbeid Ontspanning Vrijheid),,Leiden,Voetbal,1933,1942,Socialistisch
A.P.C. (American Petroleum Company),,Rotterdam,Voetbal,1911,1917,Neutraal
A.P.D. (Artillerie Paarden-Depot),,Tilburg,Voetbal,1925,1933,Neutraal
Apeldoorn,,Apeldoorn,Voetbal,1911,1913,Neutraal
Apeldoorn,,Apeldoorn,Voetbal,1914,1917,Neutraal
Apeldoorn,Velocitas//A.V.V.,Apeldoorn,Voetbal,1917,1939,Neutraal
Apeldoornsche Boys,Hercules,Apeldoorn,Voetbal,1918,,Neutraal
Apeldoornsche Footballclub,,Apeldoorn,Voetbal,1887,1889,Neutraal
A.P.G.S. (Amsterdamsche Politie Gymnastiek- en Sportvereeniging) (ook zaterdag),,Amsterdam,Voetbal,1915,,Neutraal
A.P.M.,,Rotterdam,Voetbal,1930,1930,Neutraal
Apoldro,Volharding,Apeldoorn,Voetbal,1920,1928,Neutraal
Apoldro,,Apeldoorn,Voetbal,1911,1916,Neutraal
Apoldro,,Apeldoorn,Voetbal,1917,1920,Neutraal
Apollo,Olympia,Tilburg,Voetbal,1919,1920,Neutraal
Apollo,,Heerlerbaan,Voetbal,1920,1941,Rooms-katholiek
Appelscha,,Appelscha,Voetbal,1934,1939,Neutraal
Appelscha,,Appelscha,Voetbal,1925,1928,Neutraal
Appeltern,,Appeltern (Wamel),Voetbal,1933,,Rooms-katholiek
Appingedam,A.V.V.,Appingedam,Voetbal,1919,,Neutraal
Appingedam,,Appingedam,Voetbal,1911,1914,Neutraal
Appingedamsche Boys,,Appingedam,Voetbal,1933,,Neutraal
A.P.W.,,Amsterdam,Voetbal,1937,1939,Neutraal
A.P.W.C. (Amersfoortsche Paars Wit Combinatie),,Amersfoort,Voetbal,1923,,Neutraal
Aqua,,Udenhout,Voetbal,1921,1921,Rooms-katholiek
Aqua,N.A.S.,Tilburg,Voetbal,1921,1925,Rooms-katholiek
Aqua,,Berkel Nb,Voetbal,1918,1941,Rooms-katholiek
Aqua,,Tilburg,Voetbal,1927,1933,Rooms-katholiek
Aquila,,Dreumel,Voetbal,1924,1941,Rooms-katholiek
A.R.,Olympia,Nijmegen,Voetbal,1909,1915,Neutraal
Arbeiderspers,,Amsterdam,Voetbal,1932,1933,Socialistisch
Arbeiderspers,,Leeuwarden,Voetbal,1934,,Socialistisch
Arbeiderspers,,Den Haag,Voetbal,1934,,Socialistisch
A.R.C. (Alkmaarsche Racing Club),,Alkmaar,Voetbal,1925,1934,Rooms-katholiek
A.R.C. (Alphensche Racing Club) (zaterdag),,Alphen aan den Rijn,Voetbal,1927,,Neutraal
Arcen,D.E.V.,Arcen,Voetbal,1922,1924,Rooms-katholiek
Archipel,,Den Haag,Voetbal,1920,,Neutraal
Ardath Boys,Ardath,Dordrecht,Voetbal,1940,,Neutraal
Ares,,Utrecht,Voetbal,1911,1926,Neutraal
Ares,U.S.V.,Utrecht,Voetbal,1933,,Neutraal
Ares,,Utrecht,Voetbal,1908,1910,Neutraal
Argonaut,Olympia,Amsterdam,Voetbal,1932,,Neutraal
Argus,,Utrecht,Voetbal,1926,1930,Rooms-katholiek
Argus,,Utrecht,Voetbal,1930,1931,Rooms-katholiek
